surv_month,irrigation,species,size,score,
15,low,arte,1gal,3.6,
16,low,arte,1gal,2.8,
17,low,arte,1gal,2,
18,low,arte,1gal,2.4,
19,low,arte,1gal,2.6,
20,low,arte,1gal,2.8,
21,low,arte,1gal,4.8,
22,low,arte,1gal,5,
23,low,arte,1gal,4.8,
1,high,salvia,1gal,4.6,
2,high,salvia,1gal,4.8,
3,high,salvia,1gal,4.6,
4,high,salvia,1gal,4.6,
5,high,salvia,1gal,4.2,
6,high,salvia,1gal,3.8,
7,high,salvia,1gal,4.2,
8,high,salvia,1gal,4,
9,high,salvia,1gal,5,
10,high,salvia,1gal,5,
11,high,salvia,1gal,4.6,
12,high,salvia,1gal,3.4,
13,high,salvia,1gal,3,
14,high,salvia,1gal,2.8,
15,high,salvia,1gal,2.4,
16,high,salvia,1gal,2.4,
17,high,salvia,1gal,2.8,
18,high,salvia,1gal,2.2,
19,high,salvia,1gal,3,
20,high,salvia,1gal,3.2,
21,high,salvia,1gal,3.2,
22,high,salvia,1gal,3.8,
23,high,salvia,1gal,3.6,
1,high,salvia,4in,4.8,
2,high,salvia,4in,4,
3,high,salvia,4in,4,
4,high,salvia,4in,4.2,
5,high,salvia,4in,4.2,
6,high,salvia,4in,3.6,
7,high,salvia,4in,4.4,
8,high,salvia,4in,3.8,
9,high,salvia,4in,4.6,
10,high,salvia,4in,4,
11,high,salvia,4in,3.6,
12,high,salvia,4in,3.8,
13,high,salvia,4in,3.2,
14,high,salvia,4in,2.4,
15,high,salvia,4in,2,
16,high,salvia,4in,2.2,
17,high,salvia,4in,2.6,
18,high,salvia,4in,2.4,
19,high,salvia,4in,2,
20,high,salvia,4in,3,
21,high,salvia,4in,3.2,
22,high,salvia,4in,4,
23,high,salvia,4in,3.6,
1,low,salvia,1gal,4.833333333,
2,low,salvia,1gal,4.666666667,
3,low,salvia,1gal,3.666666667,
4,low,salvia,1gal,3.5,
5,low,salvia,1gal,3.666666667,
6,low,salvia,1gal,4.166666667,
7,low,salvia,1gal,3.666666667,
8,low,salvia,1gal,3.5,
9,low,salvia,1gal,4.166666667,
10,low,salvia,1gal,4.833333333,
11,low,salvia,1gal,4.666666667,
12,low,salvia,1gal,4.166666667,
13,low,salvia,1gal,4.333333333,
14,low,salvia,1gal,3.666666667,
15,low,salvia,1gal,3.833333333,
16,low,salvia,1gal,3.666666667,
17,low,salvia,1gal,3.5,
18,low,salvia,1gal,3.666666667,
19,low,salvia,1gal,3.5,
20,low,salvia,1gal,4.333333333,
21,low,salvia,1gal,4.166666667,
22,low,salvia,1gal,5,
23,low,salvia,1gal,3.833333333,
1,low,salvia,4in,3.5,
2,low,salvia,4in,3.25,
3,low,salvia,4in,3.25,
4,low,salvia,4in,3.75,
5,low,salvia,4in,4,
6,low,salvia,4in,3.75,
7,low,salvia,4in,3.25,
8,low,salvia,4in,3,
9,low,salvia,4in,3.75,
10,low,salvia,4in,5,
11,low,salvia,4in,5,
12,low,salvia,4in,5,
13,low,salvia,4in,4.75,
14,low,salvia,4in,3.5,
15,low,salvia,4in,3.75,
16,low,salvia,4in,3.75,
17,low,salvia,4in,3.75,
18,low,salvia,4in,3.75,
19,low,salvia,4in,3.25,
20,low,salvia,4in,4.5,
21,low,salvia,4in,4.25,
22,low,salvia,4in,5,
23,low,salvia,4in,3.5,
1,high,ceo,4in,4,
2,high,ceo,4in,4,
3,high,ceo,4in,4,
4,high,ceo,4in,3,
5,high,ceo,4in,3.6,
6,high,ceo,4in,3.8,
7,high,ceo,4in,3.6,
8,high,ceo,4in,3.4,
9,high,ceo,4in,3.8,
10,high,ceo,4in,3.6,
11,high,ceo,4in,3.8,
12,high,ceo,4in,4.2,
13,high,ceo,4in,4,
14,high,ceo,4in,4,
15,high,ceo,4in,3.2,
16,high,ceo,4in,2.8,
17,high,ceo,4in,3.2,
18,high,ceo,4in,3,
19,high,ceo,4in,3,
20,high,ceo,4in,3.2,
21,high,ceo,4in,3,
22,high,ceo,4in,3.4,
23,high,ceo,4in,4,
1,high,ceo,1gal,5,
2,high,ceo,1gal,5,
3,high,ceo,1gal,4.6,
4,high,ceo,1gal,4.4,
5,high,ceo,1gal,4.6,
6,high,ceo,1gal,4.6,
7,high,ceo,1gal,4.8,
8,high,ceo,1gal,4.8,
9,high,ceo,1gal,5,
10,high,ceo,1gal,4.4,
11,high,ceo,1gal,5,
12,high,ceo,1gal,4.8,
13,high,ceo,1gal,4.4,
14,high,ceo,1gal,4.2,
15,high,ceo,1gal,2,
16,high,ceo,1gal,2.2,
17,high,ceo,1gal,2.6,
18,high,ceo,1gal,2.4,
19,high,ceo,1gal,2.6,
20,high,ceo,1gal,2.4,
21,high,ceo,1gal,3,
22,high,ceo,1gal,2.8,
23,high,ceo,1gal,3.2,
1,low,ceo,4in,4,
2,low,ceo,4in,4,
3,low,ceo,4in,3.2,
4,low,ceo,4in,3.2,
5,low,ceo,4in,2.2,
6,low,ceo,4in,2.8,
7,low,ceo,4in,2.4,
8,low,ceo,4in,2.6,
9,low,ceo,4in,3,
10,low,ceo,4in,3.4,
11,low,ceo,4in,3.6,
12,low,ceo,4in,3.2,
13,low,ceo,4in,4.2,
14,low,ceo,4in,4.2,
15,low,ceo,4in,4.4,
16,low,ceo,4in,3.6,
17,low,ceo,4in,3,
18,low,ceo,4in,3,
19,low,ceo,4in,4,
20,low,ceo,4in,3.4,
21,low,ceo,4in,3.4,
22,low,ceo,4in,4,
23,low,ceo,4in,4,
1,low,ceo,1gal,5,
2,low,ceo,1gal,4.8,
3,low,ceo,1gal,4.4,
4,low,ceo,1gal,4.4,
5,low,ceo,1gal,3.8,
6,low,ceo,1gal,4.4,
7,low,ceo,1gal,4.2,
8,low,ceo,1gal,3.8,
9,low,ceo,1gal,4.4,
10,low,ceo,1gal,4.2,
11,low,ceo,1gal,4.6,
12,low,ceo,1gal,5,
13,low,ceo,1gal,5,
14,low,ceo,1gal,4.8,
15,low,ceo,1gal,4.4,
16,low,ceo,1gal,3.2,
17,low,ceo,1gal,3.4,
18,low,ceo,1gal,3.8,
19,low,ceo,1gal,4,
20,low,ceo,1gal,4.4,
21,low,ceo,1gal,4,
22,low,ceo,1gal,4.6,
23,low,ceo,1gal,4.6,
1,high,dip,4in,4.2,
2,high,dip,4in,4.2,
3,high,dip,4in,4.4,
4,high,dip,4in,4.2,
5,high,dip,4in,4.2,
6,high,dip,4in,4.6,
7,high,dip,4in,3.8,
8,high,dip,4in,3.6,
9,high,dip,4in,4,
10,high,dip,4in,4,
11,high,dip,4in,3.8,
12,high,dip,4in,3.2,
13,high,dip,4in,3,
14,high,dip,4in,2.4,
15,high,dip,4in,0.8,
16,high,dip,4in,0.8,
17,high,dip,4in,1,
18,high,dip,4in,1,
19,high,dip,4in,1.4,
20,high,dip,4in,1.4,
21,high,dip,4in,1.8,
22,high,dip,4in,1.8,
23,high,dip,4in,1.8,
1,high,dip,1gal,4.4,
2,high,dip,1gal,4.6,
3,high,dip,1gal,3.6,
4,high,dip,1gal,4.2,
5,high,dip,1gal,4.6,
6,high,dip,1gal,4.6,
7,high,dip,1gal,4.2,
8,high,dip,1gal,4.2,
9,high,dip,1gal,4.2,
10,high,dip,1gal,4.4,
11,high,dip,1gal,4.6,
12,high,dip,1gal,4.6,
13,high,dip,1gal,4,
14,high,dip,1gal,2.6,
15,high,dip,1gal,1.4,
16,high,dip,1gal,1.2,
17,high,dip,1gal,1.6,
18,high,dip,1gal,1.8,
19,high,dip,1gal,2,
20,high,dip,1gal,3.2,
21,high,dip,1gal,3,
22,high,dip,1gal,3.8,
23,high,dip,1gal,3.8,
1,low,dip,4in,4.6,
2,low,dip,4in,4.4,
3,low,dip,4in,4.4,
4,low,dip,4in,4.4,
5,low,dip,4in,4.6,
6,low,dip,4in,4.2,
7,low,dip,4in,4,
8,low,dip,4in,3.2,
9,low,dip,4in,3.6,
10,low,dip,4in,3,
11,low,dip,4in,3.2,
